id,category,subcategory,name,type,features,openness,nais,naisuse,priority,maturity,grade,score,verify,provider,provider_group,released,released_status,url,repo_url,canonical_id,note,status,superseded_by,last_verified
AG017,AI 과학자·자율 연구 Agent,생명과학 연구환경,Claude Science,상용·플랫폼,"Claude 기반 생명과학 연구환경, 문헌·데이터·코드·도구 연계",상용 베타,연구자용 통합 Agent UX 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Anthropic,Anthropic,2026.06,베타,https://claude.com/product/claude-science,,,새 모델이 아니라 과학 도구·DB·컴퓨트 연계를 포함한 연구 workbench/app 성격으로 관리 권장.,active,,2026-07-05
AG018,AI 과학자·자율 연구 Agent,상용 연구 플랫폼,Microsoft Discovery,상용·플랫폼,그래프 지식엔진 기반으로 데이터분석·가설생성·실험·지식관리를 다중 Agent로 조율하는 R&D 플랫폼(2026 GA),상용(Azure),대규모 산업·연구 R&D Agent 플랫폼 벤치마킹,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Microsoft,Microsoft,2026.06,GA (이전: 2025.05),https://azure.microsoft.com/products/microsoft-discovery,,,,active,,2026-07-05
AG013,AI 과학자·자율 연구 Agent,범용 과학 모델,ScienceOne-AI,상용·플랫폼,"과학 기반 대모델과 다중 Agent를 결합해 문헌, 계산, 과학 문제 해결 지원",플랫폼+모델 공개,NAIS 과학기반 모델·Agent 플랫폼 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,중국과학원 자동화연구소(CAS),,2025.04,,https://github.com/ScienceOne-AI,https://github.com/ScienceOne-AI,,,active,,2026-07-05
AG041,문헌조사·학술검색 Agent,학술근거 검색,Consensus,상용 Agent·서비스,논문 근거 기반 질문 답변과 합의 수준 제시,상용 서비스,근거 기반 문헌조사 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Consensus,,2022,,https://consensus.app,,,,active,,2026-07-05
AG040,문헌조사·학술검색 Agent,학술검색,Elicit,상용 Agent·서비스,"논문 검색, 요약, 비교, 연구질문별 근거 정리",상용 서비스,출연연 문헌조사 수요에 직접 적합,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Elicit (Ought),,2021,,https://elicit.com,,,,active,,2026-07-05
AG037,문헌조사·학술검색 Agent,심층 조사,Gemini Deep Research Agent,상용 Agent·서비스,Google Gemini 기반 심층 조사·보고서 생성,상용 서비스,문헌·기술동향 조사 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Google,Google,2024.12,,https://gemini.google.com,,,,active,,2026-07-05
AG054,문헌조사·학술검색 Agent,노트 기반 연구,NotebookLM Deep Research,상용 Agent·서비스,업로드 자료와 웹 기반 조사·정리 지원,상용/Google 서비스,내부문서·보고서 요약 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Google,Google,2025,,https://notebooklm.google,,,,active,,2026-07-05
AG036,문헌조사·학술검색 Agent,심층 조사,OpenAI Deep Research,상용 Agent·서비스,웹과 문헌을 탐색해 출처 기반 심층 보고서 생성,상용 서비스,전 출연연 공통 문헌조사 Agent 벤치마킹,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,OpenAI,OpenAI,2025.02,,https://openai.com,,,,active,,2026-07-05
AG038,문헌조사·학술검색 Agent,심층 조사,Perplexity Deep Research,상용 Agent·서비스,웹 검색 기반 심층 조사와 출처 기반 답변 생성,상용 서비스,빠른 기술동향 조사 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,Perplexity AI,Perplexity,2025.02,,https://www.perplexity.ai,,,,active,,2026-07-05
AG042,문헌조사·학술검색 Agent,논문해석,SciSpace,상용 Agent·서비스,"논문 읽기, 요약, 설명, 질의응답 지원",상용 서비스,연구자 논문해석 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,SciSpace (Typeset),SciSpace,2020,,https://scispace.com,,,,active,,2026-07-05
AG027,민간 AI 과학자 플랫폼·FutureHouse Agent군,문헌·과학 질의,Crow,상용·플랫폼,과학 질문에 대해 근거 기반 답변과 문헌 조사 지원,상용/플랫폼,문헌·DB 조사 Agent 벤치마킹,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2025.05,,https://platform.futurehouse.org,,,,active,,2026-07-05
AG028,민간 AI 과학자 플랫폼·FutureHouse Agent군,문헌 탐색,Falcon,상용·플랫폼,과학 문헌 검색·탐색 특화 Agent,상용/플랫폼,선행연구 조사 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2025.05,,https://platform.futurehouse.org,,,,active,,2026-07-05
AG029,민간 AI 과학자 플랫폼·FutureHouse Agent군,논문 해석,Owl,상용·플랫폼,논문·자료 해석과 과학적 질의응답 지원,상용/플랫폼,논문 해석·요약 Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2025.05,,https://platform.futurehouse.org,,,,active,,2026-07-05
AG032,민간 AI 과학자 플랫폼·FutureHouse Agent군,논문 질의응답,PaperQA,상용·플랫폼,논문 기반 질의응답·근거 검색 시스템,오픈소스/플랫폼,내부문헌 RAG Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2023,,https://github.com/Future-House/paper-qa,https://github.com/Future-House/paper-qa,AG033,PaperQA2와 같은 계열. 전신/패키지명으로 관리하거나 PaperQA2 중심으로 통합 가능.,active,,2026-07-05
AG033,민간 AI 과학자 플랫폼·FutureHouse Agent군,논문 질의응답,PaperQA2,상용·플랫폼,PaperQA 후속 논문 질의응답 시스템,오픈소스/플랫폼,연구문헌 Q&A Agent 참고,벤치마킹/도입 검토,상,상,핵심(즉시),100,확인완료,FutureHouse,FutureHouse,2024.09,,https://github.com/Future-House/paper-qa,https://github.com/Future-House/paper-qa,,PaperQA 계열 최신 Agent로 관리. PaperQA와 중복 집계 주의.,active,,2026-07-05
